"","Date","Prevision_Pluie"
"1",2010-07-06,"FALSE"
"2",2010-07-14,"TRUE"
"3",2010-07-24,"TRUE"
"4",2010-07-28,"TRUE"
"5",2010-08-13,"FALSE"
"6",2010-08-25,"FALSE"
"7",2010-08-27,"TRUE"
"8",2010-08-29,"TRUE"
"9",2010-09-06,"TRUE"
"10",2010-10-10,"TRUE"
"11",2010-10-24,"TRUE"
"12",2010-11-11,"TRUE"
"13",2010-11-21,"TRUE"
"14",2010-11-25,"TRUE"
"15",2010-11-29,"TRUE"
"16",2010-12-03,"FALSE"
"17",2010-12-05,"TRUE"
"18",2010-12-11,"FALSE"
"19",2010-12-17,"TRUE"
"20",2010-12-19,"TRUE"
"21",2010-12-31,"FALSE"
"22",2011-01-04,"FALSE"
"23",2011-01-20,"FALSE"
"24",2011-02-13,"FALSE"
"25",2011-04-16,"FALSE"
"26",2011-05-08,"TRUE"
"27",2011-05-18,"FALSE"
"28",2011-05-20,"TRUE"
"29",2011-05-24,"FALSE"
"30",2011-06-15,"FALSE"
"31",2011-06-17,"TRUE"
"32",2011-06-21,"TRUE"
"33",2011-07-05,"TRUE"
"34",2011-07-25,"TRUE"
"35",2011-07-31,"FALSE"
"36",2011-08-08,"TRUE"
"37",2011-08-14,"TRUE"
"38",2011-08-18,"TRUE"
"39",2011-08-24,"TRUE"
"40",2011-09-01,"TRUE"
"41",2011-09-27,"FALSE"
"42",2011-10-15,"FALSE"
"43",2011-10-23,"FALSE"
"44",2011-10-29,"FALSE"
"45",2011-11-02,"FALSE"
"46",2011-11-12,"FALSE"
"47",2011-11-22,"FALSE"
"48",2011-12-10,"TRUE"
"49",2011-12-16,"TRUE"
"50",2011-12-30,"TRUE"
"51",2012-01-01,"TRUE"
"52",2012-01-03,"FALSE"
"53",2012-01-19,"TRUE"
"54",2012-01-25,"FALSE"
"55",2012-01-29,"FALSE"
"56",2012-02-08,"FALSE"
"57",2012-02-10,"FALSE"
"58",2012-02-20,"FALSE"
"59",2012-03-07,"FALSE"
"60",2012-03-11,"FALSE"
"61",2012-03-15,"FALSE"
"62",2012-04-06,"FALSE"
"63",2012-04-10,"TRUE"
"64",2012-04-16,"TRUE"
"65",2012-05-02,"TRUE"
"66",2012-05-30,"FALSE"
"67",2012-06-03,"TRUE"
"68",2012-06-27,"FALSE"
"69",2012-07-01,"TRUE"
"70",2012-07-09,"FALSE"
"71",2012-07-25,"TRUE"
"72",2012-07-29,"TRUE"
"73",2012-09-01,"FALSE"
"74",2012-09-05,"FALSE"
"75",2012-09-07,"FALSE"
"76",2012-09-17,"TRUE"
"77",2012-10-21,"TRUE"
"78",2012-11-04,"TRUE"
"79",2012-11-10,"TRUE"
"80",2012-11-24,"TRUE"
"81",2012-12-10,"TRUE"
"82",2012-12-14,"TRUE"
"83",2012-12-16,"TRUE"
"84",2012-12-30,"TRUE"
"85",2013-01-17,"FALSE"
"86",2013-01-21,"TRUE"
"87",2013-01-31,"TRUE"
"88",2013-02-04,"TRUE"
"89",2013-02-10,"FALSE"
"90",2013-02-16,"FALSE"
"91",2013-02-20,"FALSE"
"92",2013-03-12,"TRUE"
"93",2013-03-16,"FALSE"
"94",2013-03-18,"TRUE"
"95",2013-03-20,"TRUE"
"96",2013-04-11,"TRUE"
"97",2013-04-17,"FALSE"
"98",2013-04-21,"FALSE"
"99",2013-05-01,"FALSE"
"100",2013-05-03,"TRUE"
"101",2013-05-15,"TRUE"
"102",2013-05-27,"TRUE"
"103",2013-06-04,"FALSE"
"104",2013-06-20,"TRUE"
"105",2013-07-04,"FALSE"
"106",2013-07-06,"FALSE"
"107",2013-07-16,"FALSE"
"108",2013-07-24,"TRUE"
"109",2013-08-05,"FALSE"
"110",2013-08-07,"TRUE"
"111",2013-08-17,"TRUE"
"112",2013-09-10,"TRUE"
"113",2013-09-22,"FALSE"
"114",2013-10-02,"FALSE"
"115",2013-10-04,"TRUE"
"116",2013-10-22,"TRUE"
"117",2013-11-05,"TRUE"
"118",2013-11-09,"TRUE"
"119",2013-11-23,"FALSE"
"120",2013-12-13,"FALSE"
"121",2013-12-17,"FALSE"
"122",2013-12-25,"TRUE"
"123",2013-12-29,"FALSE"
"124",2014-01-28,"TRUE"
"125",2014-01-30,"TRUE"
"126",2014-02-09,"TRUE"
"127",2014-03-11,"FALSE"
"128",2014-03-19,"FALSE"
"129",2014-04-02,"TRUE"
"130",2014-04-04,"TRUE"
"131",2014-04-18,"TRUE"
"132",2014-05-08,"TRUE"
"133",2014-05-14,"FALSE"
"134",2014-05-16,"FALSE"
"135",2014-05-18,"FALSE"
"136",2014-05-24,"TRUE"
"137",2014-05-28,"FALSE"
"138",2014-06-19,"FALSE"
"139",2014-07-05,"TRUE"
"140",2014-07-17,"FALSE"
"141",2014-08-02,"TRUE"
"142",2014-08-04,"TRUE"
"143",2014-08-22,"FALSE"
"144",2014-08-28,"TRUE"
"145",2014-08-30,"FALSE"
"146",2014-09-03,"FALSE"
"147",2014-09-05,"TRUE"
"148",2014-09-27,"FALSE"
"149",2014-10-05,"TRUE"
"150",2014-10-09,"TRUE"
"151",2014-10-19,"FALSE"
"152",2014-10-21,"TRUE"
"153",2014-10-29,"FALSE"
"154",2014-11-12,"TRUE"
"155",2014-12-06,"FALSE"
"156",2014-12-08,"FALSE"
"157",2014-12-10,"FALSE"
"158",2014-12-14,"TRUE"
"159",2015-01-05,"FALSE"
"160",2015-01-07,"FALSE"
"161",2015-01-31,"TRUE"
"162",2015-02-12,"FALSE"
"163",2015-02-18,"FALSE"
"164",2015-02-22,"FALSE"
"165",2015-02-26,"FALSE"
"166",2015-02-28,"FALSE"
"167",2015-03-16,"FALSE"
"168",2015-04-01,"FALSE"
"169",2015-04-03,"FALSE"
"170",2015-04-11,"TRUE"
"171",2015-04-27,"TRUE"
"172",2015-05-01,"TRUE"
"173",2015-05-11,"TRUE"
"174",2015-06-02,"TRUE"
"175",2015-06-10,"FALSE"
"176",2015-06-18,"TRUE"
"177",2015-06-22,"TRUE"
"178",2015-07-06,"FALSE"
"179",2015-07-14,"TRUE"
"180",2015-07-28,"TRUE"
"181",2015-07-30,"FALSE"
"182",2015-08-25,"FALSE"
"183",2015-09-02,"FALSE"
"184",2015-09-04,"TRUE"
"185",2015-09-14,"TRUE"
"186",2015-09-16,"TRUE"
"187",2015-09-26,"FALSE"
"188",2015-10-04,"TRUE"
"189",2015-10-10,"FALSE"
"190",2015-10-14,"FALSE"
"191",2015-10-16,"FALSE"
"192",2015-11-11,"FALSE"
"193",2015-11-19,"TRUE"
"194",2015-12-01,"TRUE"
"195",2015-12-07,"FALSE"
"196",2015-12-11,"FALSE"
"197",2015-12-13,"FALSE"
"198",2015-12-17,"FALSE"
"199",2016-01-02,"TRUE"
"200",2016-01-18,"FALSE"
"201",2016-02-01,"TRUE"
"202",2016-02-17,"FALSE"
"203",2016-02-25,"TRUE"
"204",2016-02-29,"TRUE"
"205",2016-03-04,"TRUE"
"206",2016-03-06,"TRUE"
"207",2016-03-30,"TRUE"
"208",2016-04-25,"TRUE"
"209",2016-05-25,"FALSE"
"210",2016-05-29,"TRUE"
"211",2016-06-02,"TRUE"
"212",2016-06-04,"TRUE"
"213",2016-06-06,"FALSE"
"214",2016-06-12,"TRUE"
"215",2016-06-18,"TRUE"
"216",2016-06-26,"TRUE"
"217",2016-07-28,"TRUE"
"218",2016-07-30,"TRUE"
"219",2016-08-11,"FALSE"
"220",2016-08-17,"TRUE"
"221",2016-08-19,"TRUE"
"222",2016-08-23,"FALSE"
"223",2016-09-02,"FALSE"
"224",2016-09-04,"TRUE"
"225",2016-09-30,"TRUE"
"226",2016-10-02,"FALSE"
"227",2016-10-08,"FALSE"
"228",2016-10-12,"FALSE"
"229",2016-10-16,"FALSE"
"230",2016-11-03,"FALSE"
"231",2016-11-17,"TRUE"
"232",2016-11-21,"TRUE"
"233",2016-12-01,"FALSE"
"234",2016-12-11,"FALSE"
"235",2016-12-13,"FALSE"
"236",2016-12-17,"FALSE"
"237",2016-12-21,"FALSE"
"238",2016-12-27,"FALSE"
"239",2017-01-06,"FALSE"
"240",2017-01-16,"FALSE"
"241",2017-02-17,"FALSE"
"242",2017-02-21,"TRUE"
"243",2017-03-05,"TRUE"
"244",2017-03-09,"TRUE"
"245",2017-04-10,"FALSE"
"246",2017-04-12,"FALSE"
"247",2017-04-22,"FALSE"
"248",2017-04-26,"TRUE"
"249",2017-05-10,"FALSE"
"250",2017-05-14,"FALSE"
"251",2017-05-18,"TRUE"
"252",2017-05-26,"FALSE"
"253",2017-06-01,"FALSE"
"254",2017-06-13,"FALSE"
"255",2017-06-17,"FALSE"
"256",2017-06-19,"FALSE"
"257",2017-06-23,"TRUE"
"258",2017-06-29,"TRUE"
"259",2017-07-13,"FALSE"
"260",2017-07-27,"TRUE"
"261",2017-08-12,"TRUE"
"262",2017-08-28,"TRUE"
"263",2017-08-30,"TRUE"
"264",2017-09-03,"FALSE"
"265",2017-09-05,"TRUE"
"266",2017-09-11,"TRUE"
"267",2017-09-15,"TRUE"
"268",2017-09-27,"FALSE"
"269",2017-10-07,"FALSE"
"270",2017-10-15,"FALSE"
"271",2017-10-19,"TRUE"
"272",2017-11-10,"TRUE"
"273",2017-11-16,"FALSE"
"274",2017-11-26,"FALSE"
"275",2017-11-30,"TRUE"
"276",2017-12-04,"FALSE"
"277",2017-12-18,"FALSE"
"278",2018-01-15,"TRUE"
"279",2018-01-17,"TRUE"
"280",2018-01-27,"FALSE"
"281",2018-02-12,"TRUE"
"282",2018-02-14,"FALSE"
"283",2018-02-18,"FALSE"
"284",2018-02-28,"FALSE"
"285",2018-03-12,"TRUE"
"286",2018-05-17,"TRUE"
"287",2018-05-23,"TRUE"
"288",2018-06-02,"FALSE"
"289",2018-06-06,"TRUE"
"290",2018-06-14,"FALSE"
